Date,ProductID,SalesChannel,PromotionType,UnitsSold,Holiday
2023-01-01,P001,Online,None,16,
2023-01-01,P001,Online,Bundle,26,
2023-01-01,P001,Retail,None,0,
2023-01-01,P001,Retail,Bundle,28,
2023-01-01,P001,Wholesale,None,44,
2023-01-01,P001,Wholesale,Bundle,9,
2023-01-01,P002,Online,None,38,
2023-01-01,P002,Online,Bundle,48,
2023-01-01,P002,Retail,None,36,
2023-01-01,P002,Retail,Bundle,28,
2023-01-01,P002,Wholesale,None,48,
2023-01-01,P002,Wholesale,Bundle,27,
2023-01-01,P003,Online,None,47,
2023-01-01,P003,Online,Bundle,6,
2023-01-01,P003,Retail,None,49,
2023-01-01,P003,Retail,Bundle,23,
2023-01-01,P003,Wholesale,None,48,
2023-01-01,P003,Wholesale,Bundle,32,
2023-01-01,P004,Online,None,42,
2023-01-01,P004,Online,Bundle,40,
2023-01-01,P004,Retail,None,24,
2023-01-01,P004,Retail,Bundle,33,
2023-01-01,P004,Wholesale,None,33,
2023-01-01,P004,Wholesale,Bundle,23,
2023-01-01,P005,Online,None,13,
2023-01-01,P005,Online,Bundle,25,
2023-01-01,P005,Retail,None,29,
2023-01-01,P005,Retail,Bundle,10,
2023-01-01,P005,Wholesale,None,16,
2023-01-01,P005,Wholesale,Bundle,40,
2023-01-01,P006,Online,None,15,
2023-01-01,P006,Online,Bundle,49,
2023-01-01,P006,Retail,None,2,
2023-01-01,P006,Retail,Bundle,8,
2023-01-01,P006,Wholesale,None,21,
2023-01-01,P006,Wholesale,Bundle,1,
2023-01-01,P007,Online,None,42,
2023-01-01,P007,Online,Bundle,3,
2023-01-01,P007,Retail,None,26,
2023-01-01,P007,Retail,Bundle,16,
2023-01-01,P007,Wholesale,None,0,
2023-01-01,P007,Wholesale,Bundle,46,
2023-01-01,P008,Online,None,47,
2023-01-01,P008,Online,Bundle,19,
2023-01-01,P008,Retail,None,37,
2023-01-01,P008,Retail,Bundle,17,
2023-01-01,P008,Wholesale,None,24,
2023-01-01,P008,Wholesale,Bundle,48,
2023-01-01,P009,Online,None,12,
2023-01-01,P009,Online,Bundle,10,
2023-01-01,P009,Retail,None,39,
2023-01-01,P009,Retail,Bundle,46,
2023-01-01,P009,Wholesale,None,37,
2023-01-01,P009,Wholesale,Bundle,48,
2023-01-01,P010,Online,None,31,
2023-01-01,P010,Online,Bundle,20,
2023-01-01,P010,Retail,None,24,
2023-01-01,P010,Retail,Bundle,30,
2023-01-01,P010,Wholesale,None,41,
2023-01-01,P010,Wholesale,Bundle,8,
2023-01-01,P011,Online,None,32,
2023-01-01,P011,Online,Bundle,50,
2023-01-01,P011,Retail,None,16,
2023-01-01,P011,Retail,Bundle,13,
2023-01-01,P011,Wholesale,None,38,
2023-01-01,P011,Wholesale,Bundle,12,
2023-01-01,P012,Online,None,49,
2023-01-01,P012,Online,Bundle,5,
2023-01-01,P012,Retail,None,8,
2023-01-01,P012,Retail,Bundle,16,
2023-01-01,P012,Wholesale,None,49,
2023-01-01,P012,Wholesale,Bundle,38,
2023-01-01,P013,Online,None,41,
2023-01-01,P013,Online,Bundle,50,
2023-01-01,P013,Retail,None,34,
2023-01-01,P013,Retail,Bundle,39,
2023-01-01,P013,Wholesale,None,48,
2023-01-01,P013,Wholesale,Bundle,42,
2023-01-01,P014,Online,None,28,
2023-01-01,P014,Online,Bundle,3,
2023-01-01,P014,Retail,None,4,
2023-01-01,P014,Retail,Bundle,38,
2023-01-01,P014,Wholesale,None,32,
2023-01-01,P014,Wholesale,Bundle,46,
2023-01-02,P001,Online,None,37,
2023-01-02,P001,Online,Bundle,43,
2023-01-02,P001,Retail,None,39,
2023-01-02,P001,Retail,Bundle,38,
2023-01-02,P001,Wholesale,None,18,
2023-01-02,P001,Wholesale,Bundle,44,
2023-01-02,P002,Online,None,45,
2023-01-02,P002,Online,Bundle,34,
2023-01-02,P002,Retail,None,33,
2023-01-02,P002,Retail,Bundle,44,
2023-01-02,P002,Wholesale,None,2,
2023-01-02,P002,Wholesale,Bundle,21,
2023-01-02,P003,Online,None,16,
2023-01-02,P003,Online,Bundle,48,
2023-01-02,P003,Retail,None,49,
2023-01-02,P003,Retail,Bundle,27,
2023-01-02,P003,Wholesale,None,48,
2023-01-02,P003,Wholesale,Bundle,39,
2023-01-02,P004,Online,None,40,
2023-01-02,P004,Online,Bundle,1,
2023-01-02,P004,Retail,None,6,
2023-01-02,P004,Retail,Bundle,0,
2023-01-02,P004,Wholesale,None,45,
2023-01-02,P004,Wholesale,Bundle,24,
2023-01-02,P005,Online,None,38,
2023-01-02,P005,Online,Bundle,27,
2023-01-02,P005,Retail,None,27,
2023-01-02,P005,Retail,Bundle,50,
2023-01-02,P005,Wholesale,None,32,
2023-01-02,P005,Wholesale,Bundle,0,
2023-01-02,P006,Online,None,28,
2023-01-02,P006,Online,Bundle,13,
2023-01-02,P006,Retail,None,23,
2023-01-02,P006,Retail,Bundle,37,
2023-01-02,P006,Wholesale,None,10,
2023-01-02,P006,Wholesale,Bundle,33,
2023-01-02,P007,Online,None,11,
2023-01-02,P007,Online,Bundle,16,
2023-01-02,P007,Retail,None,9,
2023-01-02,P007,Retail,Bundle,30,
2023-01-02,P007,Wholesale,None,7,
2023-01-02,P007,Wholesale,Bundle,15,
2023-01-02,P008,Online,None,17,
2023-01-02,P008,Online,Bundle,27,
2023-01-02,P008,Retail,None,41,
2023-01-02,P008,Retail,Bundle,48,
2023-01-02,P008,Wholesale,None,29,
2023-01-02,P008,Wholesale,Bundle,1,
2023-01-02,P009,Online,None,43,
2023-01-02,P009,Online,Bundle,5,
2023-01-02,P009,Retail,None,21,
2023-01-02,P009,Retail,Bundle,11,
2023-01-02,P009,Wholesale,None,46,
2023-01-02,P009,Wholesale,Bundle,34,
2023-01-02,P010,Online,None,8,
2023-01-02,P010,Online,Bundle,11,
2023-01-02,P010,Retail,None,2,
2023-01-02,P010,Retail,Bundle,22,
2023-01-02,P010,Wholesale,None,1,
2023-01-02,P010,Wholesale,Bundle,22,
2023-01-02,P011,Online,None,32,
2023-01-02,P011,Online,Bundle,14,
2023-01-02,P011,Retail,None,4,
2023-01-02,P011,Retail,Bundle,19,
2023-01-02,P011,Wholesale,None,45,
2023-01-02,P011,Wholesale,Bundle,10,
2023-01-02,P012,Online,None,31,
2023-01-02,P012,Online,Bundle,11,
2023-01-02,P012,Retail,None,32,
2023-01-02,P012,Retail,Bundle,2,
2023-01-02,P012,Wholesale,None,30,
2023-01-02,P012,Wholesale,Bundle,33,
2023-01-02,P013,Online,None,10,
2023-01-02,P013,Online,Bundle,29,
2023-01-02,P013,Retail,None,17,
2023-01-02,P013,Retail,Bundle,14,
2023-01-02,P013,Wholesale,None,4,
2023-01-02,P013,Wholesale,Bundle,7,
2023-01-02,P014,Online,None,20,
2023-01-02,P014,Online,Bundle,14,
2023-01-02,P014,Retail,None,6,
2023-01-02,P014,Retail,Bundle,50,
2023-01-02,P014,Wholesale,None,44,
2023-01-02,P014,Wholesale,Bundle,36,
2023-01-03,P001,Online,None,22,
2023-01-03,P001,Online,Bundle,8,
2023-01-03,P001,Retail,None,24,
2023-01-03,P001,Retail,Bundle,7,
2023-01-03,P001,Wholesale,None,39,
2023-01-03,P001,Wholesale,Bundle,22,
2023-01-03,P002,Online,None,35,
2023-01-03,P002,Online,Bundle,30,
2023-01-03,P002,Retail,None,25,
2023-01-03,P002,Retail,Bundle,46,
2023-01-03,P002,Wholesale,None,26,
2023-01-03,P002,Wholesale,Bundle,33,
2023-01-03,P003,Online,None,41,
2023-01-03,P003,Online,Bundle,28,
2023-01-03,P003,Retail,None,25,
2023-01-03,P003,Retail,Bundle,18,
2023-01-03,P003,Wholesale,None,29,
2023-01-03,P003,Wholesale,Bundle,41,
2023-01-03,P004,Online,None,18,
2023-01-03,P004,Online,Bundle,13,
2023-01-03,P004,Retail,None,33,
2023-01-03,P004,Retail,Bundle,1,
2023-01-03,P004,Wholesale,None,6,
2023-01-03,P004,Wholesale,Bundle,42,
2023-01-03,P005,Online,None,15,
2023-01-03,P005,Online,Bundle,40,
2023-01-03,P005,Retail,None,50,
2023-01-03,P005,Retail,Bundle,3,
2023-01-03,P005,Wholesale,None,0,
2023-01-03,P005,Wholesale,Bundle,19,
2023-01-03,P006,Online,None,8,
2023-01-03,P006,Online,Bundle,23,
2023-01-03,P006,Retail,None,6,
2023-01-03,P006,Retail,Bundle,43,
2023-01-03,P006,Wholesale,None,33,
2023-01-03,P006,Wholesale,Bundle,30,
2023-01-03,P007,Online,None,47,
2023-01-03,P007,Online,Bundle,20,
2023-01-03,P007,Retail,None,2,
2023-01-03,P007,Retail,Bundle,2,
2023-01-03,P007,Wholesale,None,11,
2023-01-03,P007,Wholesale,Bundle,26,
2023-01-03,P008,Online,None,31,
2023-01-03,P008,Online,Bundle,36,
2023-01-03,P008,Retail,None,25,
2023-01-03,P008,Retail,Bundle,39,
2023-01-03,P008,Wholesale,None,9,
2023-01-03,P008,Wholesale,Bundle,21,
2023-01-03,P009,Online,None,7,
2023-01-03,P009,Online,Bundle,17,
2023-01-03,P009,Retail,None,21,
2023-01-03,P009,Retail,Bundle,28,
2023-01-03,P009,Wholesale,None,9,
2023-01-03,P009,Wholesale,Bundle,44,
2023-01-03,P010,Online,None,41,
2023-01-03,P010,Online,Bundle,14,
2023-01-03,P010,Retail,None,35,
2023-01-03,P010,Retail,Bundle,5,
2023-01-03,P010,Wholesale,None,38,
2023-01-03,P010,Wholesale,Bundle,26,
2023-01-03,P011,Online,None,4,
2023-01-03,P011,Online,Bundle,48,
2023-01-03,P011,Retail,None,17,
2023-01-03,P011,Retail,Bundle,20,
2023-01-03,P011,Wholesale,None,40,
2023-01-03,P011,Wholesale,Bundle,25,
2023-01-03,P012,Online,None,35,
2023-01-03,P012,Online,Bundle,1,
2023-01-03,P012,Retail,None,23,
2023-01-03,P012,Retail,Bundle,7,
2023-01-03,P012,Wholesale,None,25,
2023-01-03,P012,Wholesale,Bundle,44,
2023-01-03,P013,Online,None,41,
2023-01-03,P013,Online,Bundle,6,
2023-01-03,P013,Retail,None,21,
2023-01-03,P013,Retail,Bundle,43,
2023-01-03,P013,Wholesale,None,12,
2023-01-03,P013,Wholesale,Bundle,21,
2023-01-03,P014,Online,None,2,
2023-01-03,P014,Online,Bundle,42,
2023-01-03,P014,Retail,None,39,
2023-01-03,P014,Retail,Bundle,27,
2023-01-03,P014,Wholesale,None,9,
2023-01-03,P014,Wholesale,Bundle,46,
2023-01-04,P001,Online,None,4,
2023-01-04,P001,Online,Bundle,21,
2023-01-04,P001,Retail,None,45,
2023-01-04,P001,Retail,Bundle,29,
2023-01-04,P001,Wholesale,None,24,
2023-01-04,P001,Wholesale,Bundle,36,
